Year,Quarter,Type,Entity_Name,Registered_Users
2018,1,State,Maharashtra,6106994
2018,1,State,Uttar Pradesh,4694250
2018,1,State,Karnataka,3717763
2018,1,State,Andhra Pradesh,3336450
2018,1,State,Telangana,3315560
2018,1,State,Rajasthan,3158202
2018,1,State,Gujarat,2690048
2018,1,State,West Bengal,2604789
2018,1,State,Madhya Pradesh,2553603
2018,1,State,Bihar,2133804
2018,1,District,Bengaluru Urban,1922368
2018,1,District,Pune,1211643
2018,1,District,Jaipur,900773
2018,1,District,Mumbai Suburban,719300
2018,1,District,Hyderabad,655175
2018,1,District,Rangareddy,635175
2018,1,District,Thane,631864
2018,1,District,Ahmadabad,572811
2018,1,District,Medchal Malkajgiri,549429
2018,1,District,Visakhapatnam,497187
2018,1,Pincode,201301,114625
2018,1,Pincode,500072,105012
2018,1,Pincode,560068,98487
2018,1,Pincode,110059,95496
2018,1,Pincode,110092,83600
2018,1,Pincode,122001,82656
2018,1,Pincode,560037,75304
2018,1,Pincode,395006,72275
2018,1,Pincode,800001,71092
2018,1,Pincode,302012,68098
2018,2,State,Maharashtra,8222371
2018,2,State,Uttar Pradesh,6442554
2018,2,State,Karnataka,5030665
2018,2,State,Andhra Pradesh,4402540
2018,2,State,Telangana,4260115
2018,2,State,Rajasthan,4212964
2018,2,State,West Bengal,3833795
2018,2,State,Gujarat,3565825
2018,2,State,Madhya Pradesh,3441662
2018,2,State,Bihar,3005872
2018,2,District,Bengaluru Urban,2553312
2018,2,District,Pune,1592293
2018,2,District,Jaipur,1182983
2018,2,District,Mumbai Suburban,957633
2018,2,District,Thane,861292
2018,2,District,Hyderabad,842483
2018,2,District,Rangareddy,804959
2018,2,District,Ahmadabad,751746
2018,2,District,Medchal Malkajgiri,696211
2018,2,District,Surat,652372
2018,2,Pincode,201301,151073
2018,2,Pincode,500072,129543
2018,2,Pincode,560068,128921
2018,2,Pincode,110059,124901
2018,2,Pincode,110092,108175
2018,2,Pincode,122001,107275
2018,2,Pincode,800001,94711
2018,2,Pincode,395006,94500
2018,2,Pincode,560037,93771
2018,2,Pincode,302012,89071
2018,3,State,Maharashtra,10435033
2018,3,State,Uttar Pradesh,8096483
2018,3,State,Karnataka,6372649
2018,3,State,Andhra Pradesh,5427617
2018,3,State,Rajasthan,5175453
2018,3,State,Telangana,5138501
2018,3,State,West Bengal,4851740
2018,3,State,Gujarat,4433183
2018,3,State,Madhya Pradesh,4309309
2018,3,State,Tamil Nadu,3900177
2018,3,District,Bengaluru Urban,3167597
2018,3,District,Pune,1974138
2018,3,District,Jaipur,1438305
2018,3,District,Mumbai Suburban,1218632
2018,3,District,Thane,1104206
2018,3,District,Hyderabad,1024241
2018,3,District,Rangareddy,963186
2018,3,District,Ahmadabad,919252
2018,3,District,Medchal Malkajgiri,828425
2018,3,District,Surat,808005
2018,3,Pincode,201301,188664
2018,3,Pincode,110059,156028
2018,3,Pincode,500072,152034
2018,3,Pincode,560068,151862
2018,3,Pincode,110092,136676
2018,3,Pincode,122001,130847
2018,3,Pincode,395006,113391
2018,3,Pincode,302012,107088
2018,3,Pincode,560037,106572
2018,3,Pincode,800001,106255
2018,4,State,Maharashtra,13381602
2018,4,State,Uttar Pradesh,10341964
2018,4,State,Karnataka,8315802
2018,4,State,Andhra Pradesh,6857409
2018,4,State,Telangana,6529679
2018,4,State,Rajasthan,6358738
2018,4,State,West Bengal,6279278
2018,4,State,Gujarat,5579040
2018,4,State,Madhya Pradesh,5365442
2018,4,State,Tamil Nadu,5199878
2018,4,District,Bengaluru Urban,4126734
2018,4,District,Pune,2498852
2018,4,District,Jaipur,1733893
2018,4,District,Mumbai Suburban,1578487
2018,4,District,Thane,1473811
2018,4,District,Hyderabad,1336872
2018,4,District,Rangareddy,1217664
2018,4,District,Ahmadabad,1212636
2018,4,District,Medchal Malkajgiri,1056739
2018,4,District,Surat,998807
2018,4,Pincode,201301,250205
2018,4,Pincode,110059,206537
2018,4,Pincode,560068,201605
2018,4,Pincode,110092,177133
2018,4,Pincode,500072,175163
2018,4,Pincode,122001,163556
2018,4,Pincode,560037,137280
2018,4,Pincode,800001,134254
2018,4,Pincode,110086,133412
2018,4,Pincode,110085,132600
2019,1,State,Maharashtra,16284451
2019,1,State,Uttar Pradesh,12458661
2019,1,State,Karnataka,10266174
2019,1,State,Andhra Pradesh,8283019
2019,1,State,Telangana,7963425
2019,1,State,Rajasthan,7712204
2019,1,State,West Bengal,7449425
2019,1,State,Gujarat,6652536
2019,1,State,Madhya Pradesh,6414403
2019,1,State,Tamil Nadu,6296303
2019,1,District,Bengaluru Urban,5003207
2019,1,District,Pune,3038402
2019,1,District,Jaipur,2060175
2019,1,District,Mumbai Suburban,1901210
2019,1,District,Thane,1834051
2019,1,District,Hyderabad,1638436
2019,1,District,Rangareddy,1470874
2019,1,District,Ahmadabad,1450100
2019,1,District,Medchal Malkajgiri,1279531
2019,1,District,Surat,1180819
2019,1,Pincode,201301,301260
2019,1,Pincode,110059,246566
2019,1,Pincode,560068,237280
2019,1,Pincode,500072,221180
2019,1,Pincode,110092,206805
2019,1,Pincode,122001,194366
2019,1,Pincode,110086,158267
2019,1,Pincode,560078,157977
2019,1,Pincode,395006,157558
2019,1,Pincode,560076,157367
2019,2,State,Maharashtra,18776975
2019,2,State,Uttar Pradesh,14316349
2019,2,State,Karnataka,11968087
2019,2,State,Andhra Pradesh,9389003
2019,2,State,Telangana,9046007
2019,2,State,Rajasthan,8783935
2019,2,State,West Bengal,8612795
2019,2,State,Gujarat,7574645
2019,2,State,Tamil Nadu,7429609
2019,2,State,Madhya Pradesh,7301172
2019,2,District,Bengaluru Urban,5694165
2019,2,District,Pune,3514081
2019,2,District,Jaipur,2290462
2019,2,District,Mumbai Suburban,2151657
2019,2,District,Thane,2118406
2019,2,District,Hyderabad,1856926
2019,2,District,Ahmadabad,1656341
2019,2,District,Rangareddy,1651300
2019,2,District,Medchal Malkajgiri,1428880
2019,2,District,Surat,1338584
2019,2,Pincode,201301,336709
2019,2,Pincode,110059,274593
2019,2,Pincode,560068,263531
2019,2,Pincode,500072,242007
2019,2,Pincode,110092,228546
2019,2,Pincode,122001,217913
2019,2,Pincode,421302,182371
2019,2,Pincode,395006,180042
2019,2,Pincode,560078,178837
2019,2,Pincode,110086,177199
2019,3,State,Maharashtra,21313081
2019,3,State,Uttar Pradesh,16044607
2019,3,State,Karnataka,13635075
2019,3,State,Andhra Pradesh,10458693
2019,3,State,Telangana,10090557
2019,3,State,Rajasthan,9797304
2019,3,State,West Bengal,9643222
2019,3,State,Gujarat,8429299
2019,3,State,Tamil Nadu,8428835
2019,3,State,Madhya Pradesh,8180664
2019,3,District,Bengaluru Urban,6383771
2019,3,District,Pune,4004991
2019,3,District,Jaipur,2520933
2019,3,District,Mumbai Suburban,2407754
2019,3,District,Thane,2396815
2019,3,District,Hyderabad,2071673
2019,3,District,Ahmadabad,1848860
2019,3,District,Rangareddy,1826019
2019,3,District,Medchal Malkajgiri,1572320
2019,3,District,Surat,1481391
2019,3,Pincode,201301,369425
2019,3,Pincode,110059,300007
2019,3,Pincode,560068,289417
2019,3,Pincode,500072,261019
2019,3,Pincode,110092,248727
2019,3,Pincode,122001,239679
2019,3,Pincode,421302,208109
2019,3,Pincode,395006,198132
2019,3,Pincode,110086,194575
2019,3,Pincode,800001,194197
2019,4,State,Maharashtra,23745297
2019,4,State,Uttar Pradesh,17949542
2019,4,State,Karnataka,15385416
2019,4,State,Andhra Pradesh,11757883
2019,4,State,Telangana,11220691
2019,4,State,Rajasthan,10925031
2019,4,State,West Bengal,10885058
2019,4,State,Tamil Nadu,9620493
2019,4,State,Gujarat,9323799
2019,4,State,Madhya Pradesh,9165241
2019,4,District,Bengaluru Urban,7016836
2019,4,District,Pune,4416899
2019,4,District,Jaipur,2746860
2019,4,District,Thane,2638051
2019,4,District,Mumbai Suburban,2630360
2019,4,District,Hyderabad,2283903
2019,4,District,Ahmadabad,2015947
2019,4,District,Rangareddy,2001437
2019,4,District,Medchal Malkajgiri,1714832
2019,4,District,North Twenty Four Parganas,1638605
2019,4,Pincode,201301,398548
2019,4,Pincode,110059,320535
2019,4,Pincode,560068,313673
2019,4,Pincode,500072,279498
2019,4,Pincode,110092,264380
2019,4,Pincode,122001,258880
2019,4,Pincode,421302,243170
2019,4,Pincode,560078,218317
2019,4,Pincode,395006,214322
2019,4,Pincode,560076,211683
2020,1,State,Maharashtra,26168390
2020,1,State,Uttar Pradesh,20136256
2020,1,State,Karnataka,17016980
2020,1,State,Andhra Pradesh,13022060
2020,1,State,Telangana,12306860
2020,1,State,Rajasthan,12142053
2020,1,State,West Bengal,11960822
2020,1,State,Tamil Nadu,10872368
2020,1,State,Gujarat,10259843
2020,1,State,Madhya Pradesh,10151371
2020,1,District,Bengaluru Urban,7564577
2020,1,District,Pune,4802397
2020,1,District,Jaipur,2966508
2020,1,District,Thane,2878073
2020,1,District,Mumbai Suburban,2843378
2020,1,District,Hyderabad,2483843
2020,1,District,Ahmadabad,2185983
2020,1,District,Rangareddy,2166829
2020,1,District,Medchal Malkajgiri,1845599
2020,1,District,North Twenty Four Parganas,1789973
2020,1,Pincode,201301,425915
2020,1,Pincode,110059,342152
2020,1,Pincode,560068,334481
2020,1,Pincode,500072,296003
2020,1,Pincode,110092,280039
2020,1,Pincode,122001,277400
2020,1,Pincode,421302,270275
2020,1,Pincode,560078,234102
2020,1,Pincode,395006,230047
2020,1,Pincode,110086,226703
2020,2,State,Maharashtra,28765086
2020,2,State,Uttar Pradesh,22498519
2020,2,State,Karnataka,18655366
2020,2,State,Andhra Pradesh,14319675
2020,2,State,Rajasthan,13563201
2020,2,State,Telangana,13378191
2020,2,State,West Bengal,13222022
2020,2,State,Tamil Nadu,12150786
2020,2,State,Gujarat,11392657
2020,2,State,Madhya Pradesh,11374423
2020,2,District,Bengaluru Urban,8028070
2020,2,District,Pune,5144688
2020,2,District,Jaipur,3182014
2020,2,District,Thane,3135101
2020,2,District,Mumbai Suburban,3060916
2020,2,District,Hyderabad,2653534
2020,2,District,Ahmadabad,2384154
2020,2,District,Rangareddy,2313748
2020,2,District,North Twenty Four Parganas,1966125
2020,2,District,Medchal Malkajgiri,1963353
2020,2,Pincode,201301,445271
2020,2,Pincode,110059,365614
2020,2,Pincode,560068,351484
2020,2,Pincode,500072,309469
2020,2,Pincode,421302,298762
2020,2,Pincode,110092,295000
2020,2,Pincode,122001,293479
2020,2,Pincode,560078,247869
2020,2,Pincode,110086,246312
2020,2,Pincode,395006,245129
2020,3,State,Maharashtra,31409513
2020,3,State,Uttar Pradesh,24838116
2020,3,State,Karnataka,20487550
2020,3,State,Andhra Pradesh,15692405
2020,3,State,Rajasthan,14969412
2020,3,State,Telangana,14590882
2020,3,State,West Bengal,14448366
2020,3,State,Tamil Nadu,13643451
2020,3,State,Madhya Pradesh,12564224
2020,3,State,Gujarat,12467847
2020,3,District,Bengaluru Urban,8611452
2020,3,District,Pune,5546002
2020,3,District,Jaipur,3433167
2020,3,District,Thane,3401853
2020,3,District,Mumbai Suburban,3304696
2020,3,District,Hyderabad,2875965
2020,3,District,Ahmadabad,2580178
2020,3,District,Rangareddy,2495699
2020,3,District,North Twenty Four Parganas,2143943
2020,3,District,Medchal Malkajgiri,2111567
2020,3,Pincode,201301,472490
2020,3,Pincode,110059,393571
2020,3,Pincode,560068,373446
2020,3,Pincode,421302,328833
2020,3,Pincode,500072,328018
2020,3,Pincode,110092,314384
2020,3,Pincode,122001,314031
2020,3,Pincode,110086,267186
2020,3,Pincode,560078,265627
2020,3,Pincode,121004,261230
2020,4,State,Maharashtra,34432631
2020,4,State,Uttar Pradesh,27249134
2020,4,State,Karnataka,22400182
2020,4,State,Andhra Pradesh,17076565
2020,4,State,Rajasthan,16329494
2020,4,State,Telangana,15927797
2020,4,State,West Bengal,15662093
2020,4,State,Tamil Nadu,15357586
2020,4,State,Madhya Pradesh,13737947
2020,4,State,Gujarat,13605203
2020,4,District,Bengaluru Urban,9286243
2020,4,District,Pune,6033615
2020,4,District,Thane,3727358
2020,4,District,Jaipur,3679874
2020,4,District,Mumbai Suburban,3609970
2020,4,District,Hyderabad,3142385
2020,4,District,Ahmadabad,2787991
2020,4,District,Rangareddy,2704868
2020,4,District,North Twenty Four Parganas,2321888
2020,4,District,Medchal Malkajgiri,2282695
2020,4,Pincode,201301,504506
2020,4,Pincode,110059,423149
2020,4,Pincode,560068,399638
2020,4,Pincode,421302,365506
2020,4,Pincode,500072,350832
2020,4,Pincode,122001,336803
2020,4,Pincode,110092,335783
2020,4,Pincode,110086,288308
2020,4,Pincode,560078,285544
2020,4,Pincode,121004,283882
2021,1,State,Maharashtra,37077537
2021,1,State,Uttar Pradesh,29482075
2021,1,State,Karnataka,24095832
2021,1,State,Andhra Pradesh,18363733
2021,1,State,Rajasthan,17661088
2021,1,State,Telangana,17149069
2021,1,State,West Bengal,16808799
2021,1,State,Tamil Nadu,16632608
2021,1,State,Madhya Pradesh,14839427
2021,1,State,Gujarat,14670126
2021,1,District,Bengaluru Urban,9955387
2021,1,District,Pune,6481971
2021,1,District,Thane,4014464
2021,1,District,Jaipur,3951866
2021,1,District,Mumbai Suburban,3886500
2021,1,District,Hyderabad,3379663
2021,1,District,Ahmadabad,2999575
2021,1,District,Rangareddy,2906635
2021,1,District,North Twenty Four Parganas,2491076
2021,1,District,Surat,2458596
2021,1,Pincode,201301,541127
2021,1,Pincode,110059,454201
2021,1,Pincode,560068,427525
2021,1,Pincode,421302,396179
2021,1,Pincode,500072,375272
2021,1,Pincode,122001,361360
2021,1,Pincode,110092,359376
2021,1,Pincode,110086,310419
2021,1,Pincode,121004,306230
2021,1,Pincode,560078,305721
2021,2,State,Maharashtra,39664697
2021,2,State,Uttar Pradesh,31651894
2021,2,State,Karnataka,25751023
2021,2,State,Andhra Pradesh,19620905
2021,2,State,Rajasthan,18980985
2021,2,State,Telangana,18306880
2021,2,State,West Bengal,17979979
2021,2,State,Tamil Nadu,17804542
2021,2,State,Madhya Pradesh,15940935
2021,2,State,Gujarat,15735981
2021,2,District,Bengaluru Urban,10604609
2021,2,District,Pune,6915820
2021,2,District,Thane,4290066
2021,2,District,Jaipur,4226231
2021,2,District,Mumbai Suburban,4151227
2021,2,District,Hyderabad,3598337
2021,2,District,Ahmadabad,3209841
2021,2,District,Rangareddy,3097973
2021,2,District,North Twenty Four Parganas,2660664
2021,2,District,Surat,2633443
2021,2,Pincode,201301,577428
2021,2,Pincode,110059,485328
2021,2,Pincode,560068,455417
2021,2,Pincode,421302,424376
2021,2,Pincode,500072,398987
2021,2,Pincode,122001,385555
2021,2,Pincode,110092,383095
2021,2,Pincode,110086,332618
2021,2,Pincode,121004,328000
2021,2,Pincode,560078,325334
